folio,caja,usuario,dia,fecha,dia_semana,cantidad,producto,importe,valor,utilidad
1,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Ariel Oxianillos De 500gm,28.0,25.93,2.07
1,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Axion 720gr,29.0,23.97,5.03
2,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Whiskas 1kg,53.0,43.79,9.21
3,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Yomi Lala Fresa 190ml,11.0,6.5,4.5
4,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Trikitrakes 85g,18.0,14.28,3.72
4,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Yoghurt Yoplait Piña Coco 330gr 9111,17.5,14.0,3.5
5,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Servicio Domicilio,5.0,0.0,5.0
5,Caja 1,admin,0,2024-02-21,Wednesday,1.0,COCA RETORNABLE 3LTS PAQ 6PZA,197.0,186.23,10.77
6,Caja 1,admin,0,2024-02-21,Wednesday,6.0,Huevo Crio Individual 1pza,18.0,11.82,6.18
6,Caja 1,admin,0,2024-02-21,Wednesday,1.0,HUEVO CRIO CONO 30PZ,64.0,59.16,4.84
6,Caja 1,admin,0,2024-02-21,Wednesday,0.31,Salchijocho Pavo Any Agranel,15.0,10.36,4.64
7,Caja 1,admin,0,2024-02-21,Wednesday,1.0,HUEVO CRIO CONO 30PZ,64.0,59.16,4.84
8,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Alpura Chocolate 200ml Chocopower,11.0,6.84,4.16
9,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Donas 6p Bimbo 158g,22.0,18.04,3.96
9,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Mantecadas Vainilla C/6pzas 187.5gr,29.0,23.78,5.22
10,Caja 1,admin,0,2024-02-21,Wednesday,2.0,Vaso Individual del #8 1pza,2.0,0.8,1.2
10,Caja 1,admin,0,2024-02-21,Wednesday,1.0,coca cola 1.350 ml,28.0,22.99,5.01
11,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,COPIA CREDENCIAL,2.0,0.22,1.78
12,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Valle Frut Citrus 2 Litros 330461,30.0,20.51,9.49
